"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"b884a916eb269c940b555a7aea623102ea5cbe86bd3a4681664de087077218e3dcb1b1e20190b095d7d773aeee9b4b2b8716c3ffa11240cefc6a5bbccb186523",,"2025-01-31T22:44:00.000","20","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2025-01-31T22:57:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2700","W","60TH ST","824",,,,,,,"3","NONINCAPACITATING INJURY","2","0","0","1","1","1","0","22","6","1","41.7847326526","-87.6911698165","POINT (-87.691169816549 41.784732652598)"
"99f9ff4ba6c3037739b12f404d060b5154365c02cfef0226b6e7a37c8b50137025dded43492dce3cbeca0ce7da4d3a28bce3bd80775ab196f7d1f9986adeb12a",,"2025-01-31T22:40:00.000","30","UNKNOWN","UNKNOWN","CLEAR","DARKNESS","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-01-31T23:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4340","W","CONGRESS PKWY","1131",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","6","1","41.8743426196","-87.7343761647","POINT (-87.734376164731 41.874342619566)"
"b62d8386ee1bc914b69e8902bac1a7b879e234bb746c91f2b6ee6fdc699910dca57b589eaf8692015ac287ec0c1d974f117de23c91a2e453cc639852accfd21b",,"2025-01-31T22:40:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2025-01-31T22:56:00.000","IMPROPER TURNING/NO SIGNAL","NOT APPLICABLE","9127","S","DR MARTIN LUTHER KING JR DR","633",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","6","1","41.7283322876","-87.6141674089","POINT (-87.614167408937 41.728332287609)"
"f324680b7845442745524b2c7cd72581e586566f64374048373fcb3e4949c3f3d4661c28c42a89a3271ffb1c01b5208ef310e5326b29313eafccc8f5ff9fc70f",,"2025-01-31T22:38:00.000","30","TRAFFIC SIGNAL","FUNCTIONING IMPROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT ON GRADE","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-02-01T11:00:00.000","WEATHER","NOT APPLICABLE","315","W","FULLERTON PKWY","1814",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","6","1","41.9255319189","-87.6372122795","POINT (-87.637212279481 41.925531918912)"
"f94fbf882ee040d1023a51a2cf8f51c1da23f9782439014c331a570906aa7f7340e48e5c6d9ad36e2b51b4fe67b12adb8db94afb6c6f2ff76ff415c2c9bc900f",,"2025-01-31T22:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-01-31T22:50:00.000","IMPROPER TURNING/NO SIGNAL","NOT APPLICABLE","1725","S","WABASH AVE","131",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","1","41.8582978388","-87.6254740147","POINT (-87.625474014714 41.858297838757)"
"102a046a36bb5c62491bf393a8013d919c6528f0cdb46e6850e49368dc78a64a8a11f799453e1a1242803ce5f7eac7f258fd088e799e9c792dffce2ff265e6d7",,"2025-01-31T22:15:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","T-INTERSECTION",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2025-01-31T23:30:00.000","IMPROPER TURNING/NO SIGNAL","IMPROPER TURNING/NO SIGNAL","1600","N","WELLS ST","1814",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","1","41.9111954195","-87.6348588835","POINT (-87.634858883507 41.911195419487)"
"9a6584ac16e97d577b0ce3a7ee6dc23f60e9e8b32f238c9e51832e1bbe7be4de2faedb8141ecdfab0379b57ffe9b6f6d99f3cd1a62ce5207341fdae221f44c74","Y","2025-01-31T22:15:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","ICE","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2025-01-31T23:24:00.000","UNABLE TO DETERMINE","WEATHER","11150","S","STATE LINE RD","433",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","22","6","1","41.6921170541","-87.5248060213","POINT (-87.52480602131 41.692117054067)"
"a5114cc5755763f15503be2c35b1ee1fd89d87dc5733485357db0681176c095e4db681aa098ef061bf19aacde2e719015c9d91f8c1ed6934289a11726731d5b3",,"2025-01-31T22:10:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2025-01-31T22:10:00.000","FOLLOWING TOO CLOSELY","PHYSICAL CONDITION OF DRIVER","2799","N","CENTRAL PARK AVE","1412",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","6","1","41.9318210699","-87.717046777","POINT (-87.717046776981 41.931821069852)"
"0ce36fe2b424221dcdc45d9cdbccf09727456446123d4e7d45c5c16cbef491e0afe22d29ea282c4c9445959d68da66dfeab992cfbe2adcf32a3cf8e8a2ec8d3e","Y","2025-01-31T22:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","FIXED OBJECT","NOT DIVIDED",,"CURVE, LEVEL","ICE","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2025-01-31T22:30:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","8398","S","BIRKHOFF AVE","622",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","22","6","1","41.7416923218","-87.6393737112","POINT (-87.639373711229 41.741692321804)"
"4a71972f021bac8ddfb5c37a23ac0d05940e4ba221383b34e7d810f8248bc45fb50d615980c8f632eebf2e271792bf261790395917fcbffb218e316f97d6a23d",,"2025-01-31T22:00:00.000","25","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2025-01-31T22:49:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","5874","S","ARCHER AVE","814",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","6","1","41.795918388","-87.7617807891","POINT (-87.761780789101 41.795918387995)"
"74a43ebf305b6eaf8c8fc6dbc7460acf680fdeedf4a960c987a7b1c0fa6bd2d9e2dccf83ba31860a9e69ed23ec82321a2e91cbdd34ae5f55c366889f89974dd4",,"2025-01-31T22:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS","FIXED OBJECT","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,"Y","Y","OVER $1,500","2025-02-01T13:00:00.000","NOT APPLICABLE","NOT APPLICABLE","700","W","ADAMS ST","121",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","22","6","1","41.8793673963","-87.6441054613","POINT (-87.644105461341 41.879367396259)"
"c871868008be229a4e099005fca1d9ac250b99d8af929736c947d61c5911900c206bc6216c5d65faa8630de29bfd8d220530db495f81d1055909b761c003733b",,"2025-01-31T21:58:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","$501 - $1,500","2025-01-31T22:49:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","7130","S","BELL AVE","832",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","21","6","1","41.763805088","-87.6795900288","POINT (-87.679590028766 41.763805088006)"
"bfb94d659d003b53bed32f59b64a021c3bbbdf024b966a66e5970e0cae6905b7dae32b069d9483c4a35104f572b21b9a190f8ef5f4601000a949cfe758cb70d8",,"2025-01-31T21:46:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-01-31T21:46:00.000","FAILING TO YIELD RIGHT-OF-WAY","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)","930","W","31ST ST","913",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","1","41.8381079291","-87.6499012412","POINT (-87.649901241192 41.838107929106)"
"fa191e821ffce3f81583ab6cff1c9e0324873512ad70f694b6d3132bfe9df937ffb0de71352cf43e1056b5a28423a3579c5d74dd3336ebc97a50f88eb9ea3f8f",,"2025-01-31T21:40:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2025-01-31T22:30:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","931","S","CICERO AVE","1131",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","1","41.868560933","-87.7446900144","POINT (-87.744690014399 41.868560933046)"
"c7866387048de542cd77e634a5efa65d970232edbea691b068473499225a544aa7a158b249a66a827031348ef30c1219b586cb91126a9e34fb75155ef255af4d",,"2025-01-31T21:33:00.000","35","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2025-01-31T21:35:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","730","W","GRAND AVE","1214",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","1","41.8912973761","-87.6471309148","POINT (-87.647130914831 41.89129737612)"
"a2ac8ab607583ccb732befdd4bf9fce139bdd7763dfc642aef59df6210dca3006ffe644b4f5f7d19b88a8a53260a9d1ef0005161b95bbb1abdb4aafdcedfc872","Y","2025-01-31T21:30:00.000","30","NO CONTROLS","NO CONTROLS","UNKNOWN","UNKNOWN","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-02-01T16:15:00.000","NOT APPLICABLE","NOT APPLICABLE","217","W","23RD ST","914",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","21","6","1","41.850857258","-87.6326989832","POINT (-87.632698983187 41.850857258021)"
"b14ee9d1e572699be5e6bfd2bef33a43ffe95c82ba13db8fbb95a6e0430838a0aa027ec38d782c4dfd3d9df11dc36cd2e77004f0cb5c235e1c687133181282fc",,"2025-01-31T21:30:00.000","25","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","FOUR WAY",,"STRAIGHT AND LEVEL","ICE","NO DEFECTS",,"NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2025-01-31T22:15:00.000","WEATHER","NOT APPLICABLE","5001","S","WOODLAWN AVE","222",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","1","41.8041260248","-87.5965894345","POINT (-87.596589434459 41.80412602478)"
"e6c1a185e874e6b05a00375e6fc27ad27253f5e552cfafb4dcb7c51f34bbcd2e4a6dcf518fcab36ad321dd47ad56ae371ac4efafb473fd75d790228d3ed4b4e1",,"2025-01-31T21:20:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2025-01-31T21:30:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","40","W","LOWER WACKER DR","111",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","1","41.8870711071","-87.6294620076","POINT (-87.629462007627 41.887071107148)"
"189b043875952b93197cd093fc6f84f67f3e410960534ba4d9a2248e3f0bc9104294ff081255a28d562b7067f2b7d5f98826aed52e263e18bf273aa01f14c3b3",,"2025-01-31T21:18:00.000","35","UNKNOWN","UNKNOWN","CLEAR","DARKNESS","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-01-31T21:21:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","NOT APPLICABLE","5500","S","ASHLAND AVE","715",,,,,,,"2","NONINCAPACITATING INJURY","2","0","0","2","0","1","0","21","6","1","41.7935901159","-87.6647209959","POINT (-87.664720995935 41.793590115883)"
"09e1d8a59a06cc7bf620a8a387ec7371f3dd0f3ec4fab79023229cad7490a6a53e4ab223a15fa539fa2fdd6a549bf52bb0e24e890fdc842cce6e5f914f765e2a",,"2025-01-31T21:10:00.000","20","NO CONTROLS","NO CONTROLS","SLEET/HAIL","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","OTHER",,"STRAIGHT AND LEVEL","ICE","UNKNOWN",,"INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-01-31T21:11:00.000","WEATHER","WEATHER","2819","W","SHAKESPEARE AVE","1414",,,,,,,"2","REPORTED, NOT EVIDENT","2","0","0","0","2","0","0","21","6","1","41.9205260539","-87.6981144914","POINT (-87.698114491408 41.920526053894)"
"488f5c734524a66daaa46d4cd9d05876f540080d5ec00852aa585bb4b2f29f609f8eab30df695f43237a7b373d9f00cca386986869e75b0474bce7aca4f9a0b6","Y","2025-01-31T21:00:00.000","30","NO CONTROLS","NO CONTROLS","UNKNOWN","UNKNOWN","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2025-02-02T14:15:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","9638","S","WENTWORTH AVE","511",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","21","6","1","41.7186745835","-87.6287369204","POINT (-87.628736920441 41.718674583512)"
"6d431c208d593fb9a75ff506ae0226a9575a5cc6ac143ed10561dedd1f211c63b804e6c92c7302f9a20987e4c17efaeaf3e07f06a43e5c35047e338d5faffb42",,"2025-01-31T21:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-01-31T21:10:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","4149","W","JACKSON BLVD","1132",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","1","41.8769227796","-87.7299433338","POINT (-87.729943333791 41.876922779639)"
"1cf93955d9d41e8af04c675970c96a84d95fc9e8a805be697479a9623b4f8f2f9e5b3ce5a9f39f4ca7900626fe6741fca69b06876d865c4d799ad51b48042ff2","Y","2025-01-31T20:53:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","FIXED OBJECT","T-INTERSECTION",,"STRAIGHT AND LEVEL","UNKNOWN","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y","Y","Y","OVER $1,500","2025-02-01T09:21:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4732","S","DREXEL BLVD","223",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","20","6","1","41.8085636016","-87.6045000862","POINT (-87.604500086206 41.808563601595)"
"011f77b8b9d03c7f277ace438f7ddc515e66acc09920aaa816b54dd5244bb87ff2974b23c8cbd3a52c601d4c935ed92b78d1ef4aae822eb9dee68e1d321a6a85",,"2025-01-31T20:40:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","ICE","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2025-01-31T21:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","6600","S","MOZART ST","831",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","20","6","1","41.7735356884","-87.6946174992","POINT (-87.694617499239 41.773535688437)"
